_id;jarak;timestamp
66939498dd2f798f455c8d8e;46.82;14/07/2024 07:00
669394d5dd2f798f455c8d8f;49.84;14/07/2024 07:15
66939511dd2f798f455c8d90;49.33;14/07/2024 07:30
6693954edd2f798f455c8d91;126.72;14/07/2024 07:45
6693958add2f798f455c8d92;126.02;14/07/2024 08:00
669395c7dd2f798f455c8d93;126.11;14/07/2024 08:15
66939604dd2f798f455c8d94;47.19;14/07/2024 08:30
66939640dd2f798f455c8d95;49.33;14/07/2024 08:45
6693967ddd2f798f455c8d96;126.29;14/07/2024 09:00
669396b9dd2f798f455c8d97;126.38;14/07/2024 09:15
669396f6dd2f798f455c8d98;126.28;14/07/2024 09:30
66939732dd2f798f455c8d99;125.85;14/07/2024 09:45
6693976fdd2f798f455c8d9a;126.21;14/07/2024 10:00
669397abdd2f798f455c8d9b;49.84;14/07/2024 10:15
669397e7dd2f798f455c8d9c;55.9;14/07/2024 10:30
66939824dd2f798f455c8d9d;125.78;14/07/2024 10:45
66939860dd2f798f455c8d9e;49.86;14/07/2024 11:00
6693989ddd2f798f455c8d9f;125.6;14/07/2024 11:15
669398d9dd2f798f455c8da0;126.12;14/07/2024 11:30
66939916dd2f798f455c8da1;46.82;14/07/2024 11:45
66939952dd2f798f455c8da2;56.32;14/07/2024 12:00
6693998fdd2f798f455c8da3;57.58;14/07/2024 12:15
669399cbdd2f798f455c8da4;49.33;14/07/2024 12:30
66939a07dd2f798f455c8da5;49.33;14/07/2024 12:45
66939a44dd2f798f455c8da6;49.84;14/07/2024 13:00
66939a80dd2f798f455c8da7;126.22;14/07/2024 13:15
66939abddd2f798f455c8da8;126.77;14/07/2024 13:30
66939af9dd2f798f455c8da9;126.8;14/07/2024 13:45
66939b36dd2f798f455c8daa;55.93;14/07/2024 14:00
66939b72dd2f798f455c8dab;45.44;14/07/2024 14:15
66939baedd2f798f455c8dac;126.72;14/07/2024 14:30
66939bebdd2f798f455c8dad;55.91;14/07/2024 14:45
66939c27dd2f798f455c8dae;49.35;14/07/2024 15:00
66939c64dd2f798f455c8daf;55.93;14/07/2024 15:15
66939ca0dd2f798f455c8db0;126.11;14/07/2024 15:30
66939cdddd2f798f455c8db1;126.63;14/07/2024 15:45
66939d19dd2f798f455c8db2;49.35;14/07/2024 16:00
66939d56dd2f798f455c8db3;126.9;14/07/2024 16:15
66939d92dd2f798f455c8db4;56.35;14/07/2024 16:30
66939dd0dd2f798f455c8db5;49.2;14/07/2024 16:45
66939e0cdd2f798f455c8db6;126.75;14/07/2024 17:00
66939e49dd2f798f455c8db7;44.25;15/07/2024 07:00
66939e86dd2f798f455c8db8;127.47;15/07/2024 07:15
66939ec2dd2f798f455c8db9;126.65;15/07/2024 07:30
66939efedd2f798f455c8dba;126.65;15/07/2024 07:45
66939f3bdd2f798f455c8dbb;126.57;15/07/2024 08:00
66939f78dd2f798f455c8dbc;49.03;15/07/2024 08:15
66939fb4dd2f798f455c8dbd;126.94;15/07/2024 08:30
66939ff1dd2f798f455c8dbe;126.33;15/07/2024 08:45
6693a02edd2f798f455c8dbf;51.24;15/07/2024 09:00
6693a06bdd2f798f455c8dc0;126.39;15/07/2024 09:15
6693a0a8dd2f798f455c8dc1;127.11;15/07/2024 09:30
6693a0e4dd2f798f455c8dc2;48.25;15/07/2024 09:45
6693a121dd2f798f455c8dc3;126.62;15/07/2024 10:00
6693a15ddd2f798f455c8dc4;126.39;15/07/2024 10:15
66963e1260cc07a51d9454ed;75.96;15/07/2024 10:30
66963e5060cc07a51d9454ee;126.06;15/07/2024 10:45
66963e8c60cc07a51d9454ef;126.36;15/07/2024 11:00
66963ec860cc07a51d9454f0;126.24;15/07/2024 11:15
66963f0460cc07a51d9454f1;126.55;15/07/2024 11:30
66963f4160cc07a51d9454f2;126.17;15/07/2024 11:45
66963f7e60cc07a51d9454f3;127.5;15/07/2024 12:00
66963fbd60cc07a51d9454f4;126.17;15/07/2024 12:15
66963ffa60cc07a51d9454f5;126.16;15/07/2024 12:30
6696403660cc07a51d9454f6;126.17;15/07/2024 12:45
6696407360cc07a51d9454f7;126;15/07/2024 13:00
669640af60cc07a51d9454f8;126.45;15/07/2024 13:15
669640ec60cc07a51d9454f9;126.26;15/07/2024 13:30
6696412960cc07a51d9454fa;126.45;15/07/2024 13:45
6696416560cc07a51d9454fb;126.43;15/07/2024 14:00
669641a260cc07a51d9454fc;56.07;15/07/2024 14:15
669641de60cc07a51d9454fd;126.46;15/07/2024 14:30
6696421b60cc07a51d9454fe;126.9;15/07/2024 14:45
6696425760cc07a51d9454ff;126.36;15/07/2024 15:00
6696429360cc07a51d945500;126.11;15/07/2024 15:15
669642d360cc07a51d945501;126.21;15/07/2024 15:30
6696431060cc07a51d945502;126.11;15/07/2024 15:45
6696434c60cc07a51d945503;126.38;15/07/2024 16:00
6696438960cc07a51d945504;126.58;15/07/2024 16:15
669643c860cc07a51d945505;126.55;15/07/2024 16:30
6696440460cc07a51d945506;126.65;15/07/2024 16:45
6696444060cc07a51d945507;126.19;15/07/2024 17:00
6696447d60cc07a51d945508;126.12;15/07/2024 17:15
